Index,Critical Regions,Scenario Name,Theta 1,Theta 2,Theta 3,Theta 4,Obj,"X (P1,1)","X (P1,2)","X (P1,3)","X (P1,4)",Updated Obj,"Y_up(WC1,1)","Y_up(WC1,2)","Y_up(WC1,3)","Y_up(WC1,4)","Y_up(WC2,1)","Y_up(WC2,2)","Y_up(WC2,3)","Y_up(WC2,4)","Y_up(WC3,1)","Y_up(WC3,2)","Y_up(WC3,3)","Y_up(WC3,4)","X_up(P1,1)","X_up(P1,2)","X_up(P1,3)","X_up(P1,4)",Plan
26,CR 2,Sc27,64.0,120.0,108.0,96.0,9840.00,64.00,100.00,124.00,100.00,9840.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,64.00,100.00,124.00,100.00,Plan E
72,CR 3,Sc28,80.0,80.0,72.0,64.0,7948.00,80.00,60.00,72.00,84.00,7853.999999999998,2.0,2.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,80.0,85.99999999999955,50.0,80.00000000000045,Plan A
27,CR 2,Sc29,80.0,80.0,72.0,80.0,8268.00,80.00,60.00,72.00,100.00,8213.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,82.0,50.0,100.0,Plan B
28,CR 2,Sc30,80.0,80.0,72.0,96.0,8625.00,80.00,60.00,88.00,100.00,8597.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,98.0,50.0,100.0,Plan B
73,CR 3,Sc31,80.0,80.0,90.0,64.0,8313.00,80.00,60.00,90.00,84.00,8286.0,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,80.0,60.0,94.0,80.0,Plan C
29,CR 2,Sc32,80.0,80.0,90.0,80.0,8633.00,80.00,60.00,90.00,100.00,8609.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,50.0,100.0,Plan B
30,CR 2,Sc33,80.0,80.0,90.0,96.0,8995.00,80.00,60.00,106.00,100.00,8995.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,60.00,106.00,100.00,Plan E
74,CR 3,Sc34,80.0,80.0,108.0,64.0,8683.00,80.00,60.00,108.00,84.00,8669.999999999998,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,80.0,71.99999999999957,100.00000000000004,80.00000000000038,Plan C
31,CR 2,Sc35,80.0,80.0,108.0,80.0,9003.00,80.00,60.00,108.00,100.00,9003.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,60.00,108.00,100.00,Plan E
32,CR 2,Sc36,80.0,80.0,108.0,96.0,9355.00,80.00,60.00,124.00,100.00,9355.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,60.00,124.00,100.00,Plan E
75,CR 3,Sc37,80.0,100.0,72.0,64.0,8348.00,80.00,80.00,72.00,84.00,8310.999999999996,2.0,2.0,2.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,80.0,85.99999999999872,100.00000000000043,50.00000000000085,Plan D
33,CR 2,Sc38,80.0,100.0,72.0,80.0,8668.00,80.00,80.00,72.00,100.00,8668.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,80.00,72.00,100.00,Plan E
34,CR 2,Sc39,80.0,100.0,72.0,96.0,9025.00,80.00,80.00,88.00,100.00,9025.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,80.00,88.00,100.00,Plan E
76,CR 3,Sc40,80.0,100.0,90.0,64.0,8713.00,80.00,80.00,90.00,84.00,8685.999999999996,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,80.0,80.0,93.99999999999872,80.00000000000128,Plan C
35,CR 2,Sc41,80.0,100.0,90.0,80.0,9033.00,80.00,80.00,90.00,100.00,9033.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,80.00,90.00,100.00,Plan E
36,CR 2,Sc42,80.0,100.0,90.0,96.0,9395.00,80.00,80.00,106.00,100.00,9395.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,80.00,106.00,100.00,Plan E
77,CR 3,Sc43,80.0,100.0,108.0,64.0,9083.00,80.00,80.00,108.00,84.00,9070.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,80.0,91.99999999999983,100.0,80.00000000000016,Plan C
37,CR 2,Sc44,80.0,100.0,108.0,80.0,9403.00,80.00,80.00,108.00,100.00,9403.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,80.00,108.00,100.00,Plan E
38,CR 2,Sc45,80.0,100.0,108.0,96.0,9755.00,80.00,80.00,124.00,100.00,9755.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,80.00,124.00,100.00,Plan E
39,CR 2,Sc46,80.0,120.0,72.0,64.0,8753.00,80.00,100.00,72.00,84.00,8726.0,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,80.0,100.0,75.99999999999952,80.00000000000048,Plan C
40,CR 2,Sc47,80.0,120.0,72.0,80.0,9073.00,80.00,100.00,72.00,100.00,9073.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,100.00,72.00,100.00,Plan E
41,CR 2,Sc48,80.0,120.0,72.0,96.0,9430.00,80.00,100.00,88.00,100.00,9430.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,100.00,88.00,100.00,Plan E
42,CR 2,Sc49,80.0,120.0,90.0,64.0,9118.00,80.00,100.00,90.00,84.00,9086.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,100.0,94.0,80.0,Plan C
43,CR 2,Sc50,80.0,120.0,90.0,80.0,9438.00,80.00,100.00,90.00,100.00,9438.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,100.00,90.00,100.00,Plan E
44,CR 2,Sc51,80.0,120.0,90.0,96.0,9800.00,80.00,100.00,106.00,100.00,9800.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,100.00,106.00,100.00,Plan E
